Date,30 Yr FRM,30 Yr Fee,15 Yr FRM,15 Yr Fee
2000-01-07,8.15,1,7.73,1
2000-01-14,8.18,1,7.78,1
2000-01-21,8.26,1,7.86,1
2000-01-28,8.25,1,7.84,1
2000-02-04,8.25,1,7.85,1
2000-02-11,8.36,1,7.96,1
2000-02-18,8.38,0.9,8,0.9
2000-02-25,8.31,1,7.92,1
2000-03-03,8.27,1,7.84,1
2000-03-10,8.23,0.9,7.81,0.9
2000-03-17,8.24,1,7.83,0.9
2000-03-24,8.23,1,7.84,0.9
2000-03-31,8.23,1,7.84,1
2000-04-07,8.2,1,7.83,1
2000-04-14,8.12,0.9,7.76,1
2000-04-21,8.16,1,7.82,1
2000-04-28,8.13,1,7.79,1
2000-05-05,8.28,1,7.94,1
2000-05-12,8.52,1,8.17,1
2000-05-19,8.64,1,8.31,1
2000-05-26,8.62,1,8.31,1
2000-06-02,8.54,0.9,8.24,0.9
2000-06-09,8.32,0.9,8.04,0.9
2000-06-16,8.22,1,7.91,0.9
2000-06-23,8.14,1,7.85,1
2000-06-30,8.22,0.9,7.92,1
2000-07-07,8.16,1,7.88,1
2000-07-14,8.09,0.9,7.8,0.9
2000-07-21,8.21,0.9,7.93,0.9
2000-07-28,8.13,0.9,7.85,0.9
2000-08-04,8.12,1,7.88,1
2000-08-11,8.04,0.9,7.75,1
2000-08-18,7.96,1,7.7,1
2000-08-25,7.99,1,7.72,1
2000-09-01,7.96,1,7.67,1
2000-09-08,7.94,1,7.65,1
2000-09-15,7.88,1,7.6,1
2000-09-22,7.9,1,7.57,1
2000-09-29,7.88,1,7.53,1
2000-10-06,7.83,1,7.5,1
2000-10-13,7.84,1,7.52,1
2000-10-20,7.83,0.9,7.5,0.9
2000-10-27,7.68,1,7.36,0.9
2000-11-03,7.73,0.9,7.41,0.9
2000-11-10,7.79,0.9,7.44,1
2000-11-17,7.73,0.9,7.41,0.9
2000-11-24,7.73,0.9,7.41,0.9
2000-12-01,7.65,0.9,7.35,0.9
2000-12-08,7.54,1,7.19,1
2000-12-15,7.42,0.9,7.11,0.9
2000-12-22,7.17,1,6.84,1
2000-12-29,7.13,1,6.79,0.9
2001-01-05,7.07,1,6.74,1
2001-01-12,6.89,0.9,6.49,0.9
2001-01-19,7.02,0.9,6.63,0.9
2001-01-26,7.15,0.8,6.7,0.8
2001-02-02,7.09,1,6.66,1
2001-02-09,6.98,1,6.6,1
2001-02-16,7.01,0.9,6.61,0.9
2001-02-23,7.12,0.9,6.69,0.8
2001-03-02,7.03,0.9,6.58,1
2001-03-09,6.97,0.9,6.52,1
2001-03-16,6.96,0.9,6.54,1
2001-03-23,6.89,1,6.44,1
2001-03-30,6.91,0.9,6.46,0.9
2001-04-06,7.01,0.9,6.54,1
2001-04-13,7.04,0.8,6.55,0.9
2001-04-20,7.14,0.9,6.66,1
2001-04-27,7.12,1,6.63,1
2001-05-04,7.14,0.9,6.66,1
2001-05-11,7.1,0.9,6.61,1
2001-05-18,7.14,1,6.67,1
2001-05-25,7.2,1,6.76,1
2001-06-01,7.24,0.9,6.78,0.9
2001-06-08,7.2,1,6.74,1
2001-06-15,7.14,0.9,6.7,1
2001-06-22,7.11,1,6.65,1
2001-06-29,7.11,1,6.63,1
2001-07-06,7.19,0.9,6.74,0.9
2001-07-13,7.21,0.9,6.76,0.9
2001-07-20,7.08,0.9,6.65,0.9
2001-07-27,7.03,0.9,6.58,0.9
2001-08-03,7,0.9,6.54,0.9
2001-08-10,7,0.9,6.54,0.9
2001-08-17,6.92,0.9,6.48,0.9
2001-08-24,6.91,0.9,6.47,0.9
2001-08-31,6.92,0.9,6.47,0.8
2001-09-07,6.89,0.9,6.44,0.9
2001-09-14,6.86,0.9,6.39,0.8
2001-09-21,6.8,0.9,6.3,0.9
2001-09-28,6.72,0.9,6.23,0.8
2001-10-05,6.64,0.8,6.11,0.8
2001-10-12,6.58,0.9,6.06,0.9
2001-10-19,6.61,0.9,6.09,0.9
2001-10-26,6.64,0.8,6.13,0.8
2001-11-02,6.56,0.9,6.04,0.8
2001-11-09,6.45,0.8,5.94,0.8
2001-11-16,6.51,0.8,5.98,0.8
2001-11-23,6.75,0.8,6.24,0.8
2001-11-30,7.02,0.7,6.53,0.7
2001-12-07,6.84,0.7,6.3,0.8
2001-12-14,7.09,0.8,6.57,0.8
2001-12-21,7.17,0.7,6.65,0.7
2001-12-28,7.16,0.8,6.65,0.7
2002-01-04,7.14,0.8,6.62,0.8
2002-01-11,7.06,0.8,6.55,0.7
2002-01-18,6.83,0.7,6.31,0.7
2002-01-25,6.96,0.7,6.44,0.7
2002-02-01,7.02,0.7,6.51,0.7
2002-02-08,6.88,0.7,6.36,0.7
2002-02-15,6.86,0.7,6.35,0.7
2002-02-22,6.81,0.7,6.28,0.7
2002-03-01,6.8,0.7,6.28,0.7
2002-03-08,6.87,0.7,6.37,0.7
2002-03-15,7.08,0.7,6.59,0.7
2002-03-22,7.14,0.7,6.65,0.7
2002-03-29,7.18,0.7,6.69,0.7
2002-04-05,7.13,0.7,6.64,0.7
2002-04-12,6.99,0.8,6.49,0.8
2002-04-19,6.94,0.7,6.42,0.7
2002-04-26,6.88,0.7,6.35,0.7
2002-05-03,6.78,0.7,6.26,0.7
2002-05-10,6.79,0.7,6.27,0.7
2002-05-17,6.89,0.7,6.37,0.8
2002-05-24,6.81,0.7,6.28,0.7
2002-05-31,6.76,0.8,6.22,0.8
2002-06-07,6.71,0.7,6.18,0.7
2002-06-14,6.71,0.7,6.17,0.6
2002-06-21,6.63,0.5,6.08,0.5
2002-06-28,6.55,0.5,5.99,0.5
2002-07-05,6.57,0.5,6.03,0.5
2002-07-12,6.54,0.5,6,0.5
2002-07-19,6.49,0.6,5.93,0.5
2002-07-26,6.34,0.6,5.76,0.5
2002-08-02,6.43,0.6,5.84,0.6
2002-08-09,6.31,0.6,5.69,0.6
2002-08-16,6.22,0.6,5.63,0.5
2002-08-23,6.27,0.7,5.71,0.7
2002-08-30,6.22,0.7,5.64,0.7
2002-09-06,6.15,0.6,5.56,0.6
2002-09-13,6.18,0.6,5.59,0.6
